ќценка.1,ќценка.2,ќценка.3,ќценка.4
40,80,84,94
50,74,80,94
100,88,74,78
60,84,82,78
60,88,88,87
100,88,58,85
65,82,90,94
60,78,92,94
60,88,86,87
100,96,100,94
55,82,84,91
100,86,90,91
100,100,100,98
65,70,94,91
100,98,100,100
35,76,52,65
75,78,80,96
60,84,90,91
55,88,84,70
55,88,88,89
60,74,96,78
55,84,85,81
60,84,88,89
65,88,92,100
75,82,82,82
100,80,100,71
60,82,82,91
70,84,92,94
100,86,98,94
85,78,70,85
100,88,100,87
45,76,59,78
65,80,94,89
70,78,89,96
60,84,72,80
100,82,100,94
100,88,100,98
100,84,96,94
60,86,88,72
70,84,72,89
50,88,62,89
40,70,85,83
60,82,74,96
65,82,80,91
50,80,82,87
60,74,53,82
55,76,82,91
65,84,90,100
100,88,100,96
65,84,66,96
100,96,100,89
80,78,94,76
60,84,88,76
35,76,72,91
70,88,82,89
100,84,86,82
60,78,80,98
70,72,58,94
50,78,74,91
55,82,82,98
75,96,84,86
70,78,78,98
60,88,96,91
35,92,94,91
65,82,84,98
55,76,70,82
100,90,76,80
60,82,74,87
100,96,100,98
70,82,86,72
60,82,70,91
65,84,78,85
100,94,100,94
60,72,82,76
80,92,94,96
65,96,92,98
35,82,53,94
100,82,84,94
50,76,82,91
100,98,80,91
80,88,86,100
50,86,96,72
50,72,61,80
50,78,90,96
65,68,76,87
70,80,64,61
50,80,82,94
60,88,86,96
100,82,86,98
65,80,82,82
100,92,100,89
70,98,84,91
100,78,100,94
80,92,100,96
55,78,90,96
100,90,100,89
75,82,88,98
30,88,86,94
70,94,86,94
60,80,86,89
80,84,96,93
100,76,66,91
55,84,100,87
70,84,82,78
45,76,80,91
50,88,82,91
100,94,86,91
100,76,64,96
50,86,82,80
65,92,61,91
60,78,82,82
50,86,64,85
100,100,100,89
70,84,90,89
70,86,90,96
50,88,84,91
60,92,82,80
100,76,74,89
100,98,100,98
40,70,74,91
80,84,76,94
55,74,92,98
35,68,66,96
50,76,68,87
75,84,76,81
70,72,78,89
75,99,68,85
40,74,68,91
60,78,72,94
60,76,82,91
60,76,94,89
65,86,80,89
65,82,78,82
65,92,82,87
100,86,84,78
65,82,100,82
50,94,67,98
60,80,68,76
65,90,84,76
75,94,80,85
100,90,98,91
70,76,90,89
55,96,83,88
100,84,74,71
100,82,84,100
40,78,90,96
50,84,59,98
100,88,100,94
60,86,72,98
70,76,74,98
80,92,67,93
100,82,86,89
35,80,88,89
65,80,92,89
65,90,98,96
65,80,88,100
55,90,84,100
60,80,92,82
95,86,100,87
100,92,92,94
100,84,100,82
70,90,74,98
100,86,100,87
100,86,74,76
60,84,100,94
65,86,78,91
70,70,72,82
50,78,84,85
65,86,96,100
100,84,88,96
50,78,72,96
90,92,92,98
100,90,88,55
65,84,72,73
55,76,96,94
60,74,84,94
35,80,100,87
55,90,92,96
40,84,72,85
100,88,82,87
60,74,70,85
70,86,94,96
40,72,66,87
60,84,72,82
85,78,90,89
100,99,96,94
75,86,92,89
100,94,100,91
100,92,100,91
70,96,92,94
60,80,100,94
65,84,82,100
100,100,82,96
100,86,100,89
60,74,78,94
100,90,100,98
70,72,68,76
60,60,93,96
60,90,84,96
60,80,84,85
50,78,70,80
65,98,94,100
100,82,84,91
60,80,88,85
100,84,100,71
70,84,71,98
100,96,100,80
65,76,90,80
100,92,88,98
60,86,70,96
70,84,94,89
60,70,80,96
70,78,100,94
65,72,82,91
60,80,100,89
50,80,70,76
100,88,100,94
35,68,90,82
65,80,92,89
70,90,66,69
35,78,76,78
55,72,90,89
55,78,66,91
50,80,94,80
75,98,92,94
70,72,84,89
60,82,90,89
70,90,82,82
100,80,100,85
65,76,80,80
50,74,76,96
100,94,100,94
50,82,96,80
50,78,82,78
70,76,88,87
100,88,100,96
65,80,90,94
65,80,68,91
85,82,80,87
55,75,74,82
100,96,100,91
30,70,84,70
55,74,86,91
60,80,84,87
65,92,68,91
100,100,94,94
70,88,86,94
50,88,86,85
100,84,82,91
100,94,90,85
60,74,82,96
60,74,74,72
60,90,88,87
55,92,92,94
55,70,61,80
50,74,62,69
60,80,86,96
100,92,64,91
30,70,61,73
35,76,70,89
100,84,88,91
75,80,100,82
70,74,82,96
60,80,80,96
70,78,86,85
55,80,78,98
35,56,60,73
80,94,94,94
80,75,90,85
35,78,86,91
100,86,90,87
100,84,100,82
90,90,96,96
65,86,86,82
70,96,100,78
80,96,92,89
70,76,96,89
70,78,92,82
50,74,98,80
65,80,88,87
100,90,68,71
70,78,80,76
75,100,100,94
80,82,64,89
55,80,80,91
75,94,98,98
70,84,92,94
65,86,84,82
75,82,92,91
100,94,100,71
60,84,88,78
90,84,100,80
50,80,66,71
100,88,90,89
70,96,86,91
100,84,72,91
65,80,78,98
65,78,82,94
70,76,82,98
80,86,100,98
75,100,98,89
65,86,80,91
55,76,84,94
80,90,92,98
35,72,68,89
45,76,86,91
75,88,96,85
60,74,80,100
60,84,86,98
40,84,70,82
70,80,74,94
45,76,76,98
55,76,92,85
65,78,74,89
70,74,94,89
30,62,47,65
100,86,74,72
45,76,72,89
80,92,100,91
55,84,90,96
60,78,86,72
70,84,90,89
50,80,96,98
100,88,100,98
65,76,86,91
35,74,62,96
70,86,94,96
80,88,88,94
100,88,84,82
60,92,90,94
80,90,96,89
55,70,68,94
70,84,61,89
55,76,68,80
90,96,100,80
100,92,100,91
65,84,80,82
70,84,92,100
70,78,86,94
55,84,78,96
60,70,72,87
55,80,70,96
70,86,80,85
75,82,82,94
100,88,100,91
70,86,64,89
55,78,90,91
70,68,64,89
100,88,100,98
55,76,86,100
60,76,80,98
100,88,88,98
50,82,78,89
70,96,92,94
60,80,84,82
65,78,72,100
35,76,80,89
55,76,88,94
65,80,96,87
60,72,59,100
55,84,68,85
30,78,76,94
60,74,72,91
60,80,82,87
65,78,96,85
100,100,98,94
70,82,89,81
60,80,88,100
60,86,57,96
70,76,66,91
70,86,90,98
100,86,90,96
55,98,68,94
65,92,96,96
100,76,100,91
60,90,100,91
70,82,82,87
60,72,94,91
60,76,88,91
100,98,90,100
100,86,68,94
70,80,83,93
85,74,94,80
65,94,96,96
100,100,92,98
40,74,94,94
100,88,82,89
75,90,100,80
65,70,78,94
65,78,92,91
100,88,100,98
65,76,86,94
100,96,100,98
100,98,100,89
40,82,94,94
60,86,96,96
55,70,68,85
55,82,84,89
70,84,82,98
55,82,71,78
35,76,82,85
70,78,78,76
60,74,72,91
50,82,76,98
65,82,82,82
35,82,100,94
75,80,80,89
35,76,74,96
50,82,60,94
90,88,92,86
65,84,62,78
50,88,86,89
65,78,82,94
35,78,90,91
65,88,72,98
50,82,78,96
70,88,94,87
55,76,64,89
60,78,78,94
50,72,82,98
80,78,94,78
75,78,62,82
85,80,90,98
100,78,100,94
80,92,90,85
70,78,98,84
100,88,100,80
70,92,92,89
70,50,37,54
70,70,86,87
65,76,98,89
50,98,76,87
70,84,84,85
55,74,64,89
70,88,84,96
70,84,92,96
100,98,100,94
65,74,80,81
65,86,86,87
60,84,100,89
65,90,74,89
80,82,82,100
55,80,52,89
50,82,92,70
80,100,92,86
60,80,88,94
90,88,84,89
70,92,100,85
90,86,92,82
80,86,92,96
60,78,90,94
50,82,86,87
65,70,80,89
60,78,90,89
35,48,41,63
50,98,76,76
55,84,90,96
100,100,82,80
70,80,90,85
60,86,88,91
50,76,84,87
100,88,100,91
100,76,90,80
50,84,86,87
60,84,72,87
50,62,94,91
100,96,94,89
50,62,57,80
70,74,88,96
70,78,76,89
55,70,58,89
35,82,68,96
70,82,92,98
70,84,88,94
60,74,80,82
85,62,82,80
100,84,100,98
30,76,62,96
60,92,84,82
100,86,96,89
100,82,72,89
60,74,90,96
35,78,82,98
65,72,86,91
65,82,100,91
70,80,88,98
60,78,94,100
100,84,100,91
100,84,48,96
50,74,84,94
100,90,78,78
100,88,100,85
35,88,58,91
60,82,92,87
100,84,82,100
70,98,94,94
100,78,78,73
95,90,98,98
50,86,86,96
100,82,96,80
60,92,80,98
60,84,80,89
60,82,84,94
70,80,90,87
100,86,90,73
50,70,92,87
100,92,100,98
55,82,70,87
65,84,78,88
55,78,86,85
55,76,86,91
60,70,78,89
75,84,80,91
60,78,86,96
60,74,64,72
70,92,90,91
70,74,74,91
100,92,100,87
65,78,68,91
50,86,70,91
55,72,72,94
65,86,62,71
65,72,82,89
75,100,88,72
70,76,94,89
100,94,94,96
55,82,84,94
60,90,84,72
70,94,82,87
65,88,100,91
100,82,94,98
35,56,44,72
100,80,64,85
60,74,66,89
50,74,94,98
50,78,80,85
80,80,92,94
100,99,98,91
85,78,76,87
40,76,80,82
100,82,100,85
100,96,76,91
90,98,58,78
60,82,94,94
100,86,100,94
35,62,46,80
50,76,94,89
35,78,76,89
60,56,58,66
100,100,92,96
70,80,78,100
65,86,88,98
30,74,52,80
65,88,94,87
65,78,84,80
70,98,94,87
50,80,74,91
60,72,61,94
60,78,62,87
65,68,48,69
50,68,76,91
50,80,78,87
40,78,80,89
55,62,59,71
35,72,62,78
70,82,86,71
65,84,78,91
65,78,78,70
60,86,86,91
50,80,92,80
50,82,69,70
65,80,76,86
60,86,80,89
55,96,94,76
100,96,88,100
55,82,62,80
65,92,80,86
75,99,86,85
65,76,94,82
80,96,96,80
100,76,100,85
70,78,88,85
100,92,100,91
45,72,66,76
65,82,82,94
70,94,96,96
60,94,76,91
70,90,90,80
80,86,90,80
30,76,80,96
50,78,70,78
35,88,80,69
